return_id,return_date,client_id,material_id,quantity_returned,reason,supplier_id_traced,model_probability,top3,source,supplier_attributed,confidence,model_agrees
RET-0000,2023-11-02,Client-000,SS Sheets,4.57,Weight short,,0.22008614149240027,"[{""supplier_id"": ""VS12"", ""p"": 0.2201}, {""supplier_id"": ""VS19"", ""p"": 0.1804}, {""supplier_id"": ""VS03"", ""p"": 0.175}]",inferred,VS12,0.22008614149240027,
RET-0001,2021-10-25,Client-058,MS Flats,3.46,Wrong dimensions,,0.20945511683032655,"[{""supplier_id"": ""VS03"", ""p"": 0.2095}, {""supplier_id"": ""VS19"", ""p"": 0.2011}, {""supplier_id"": ""VS12"", ""p"": 0.1537}]",inferred,VS03,0.20945511683032655,
RET-0002,2022-03-13,Client-047,MS Sheets,4.12,Bend/warp,VS12,0.1989028546293546,"[{""supplier_id"": ""VS03"", ""p"": 0.1989}, {""supplier_id"": ""VS19"", ""p"": 0.1891}, {""supplier_id"": ""VS12"", ""p"": 0.1574}]",recorded,VS12,1.0,0.0
RET-0003,2021-09-05,Client-068,GI Pipes,3.43,Bend/warp,VS04,0.20791799422606022,"[{""supplier_id"": ""VS19"", ""p"": 0.2079}, {""supplier_id"": ""VS12"", ""p"": 0.177}, {""supplier_id"": ""VS03"", ""p"": 0.1722}]",recorded,VS04,1.0,0.0
RET-0004,2021-06-14,Client-027,ERW Pipes,3.38,Weight short,,0.2149037240268297,"[{""supplier_id"": ""VS19"", ""p"": 0.2149}, {""supplier_id"": ""VS03"", ""p"": 0.1885}, {""supplier_id"": ""VS12"", ""p"": 0.1738}]",inferred,VS19,0.2149037240268297,
RET-0005,2021-11-27,Client-052,Angles & Channels,1.42,Wrong dimensions,VS03,0.20169940679836787,"[{""supplier_id"": ""VS19"", ""p"": 0.2017}, {""supplier_id"": ""VS03"", ""p"": 0.1956}, {""supplier_id"": ""VS12"", ""p"": 0.1921}]",recorded,VS03,1.0,0.0
RET-0006,2023-06-11,Client-039,CR Sheets,3.84,Bend/warp,,0.22691489697082615,"[{""supplier_id"": ""VS12"", ""p"": 0.2269}, {""supplier_id"": ""VS19"", ""p"": 0.1923}, {""supplier_id"": ""VS03"", ""p"": 0.1575}]",inferred,VS12,0.22691489697082615,
RET-0007,2023-07-02,Client-024,Angles & Channels,1.49,Bend/warp,VS12,0.2160343583449155,"[{""supplier_id"": ""VS12"", ""p"": 0.216}, {""supplier_id"": ""VS19"", ""p"": 0.191}, {""supplier_id"": ""VS03"", ""p"": 0.1637}]",recorded,VS12,1.0,1.0
RET-0008,2022-07-24,Client-001,SS Pipes,0.87,Weight short,VS12,0.21382625515693723,"[{""supplier_id"": ""VS19"", ""p"": 0.2138}, {""supplier_id"": ""VS12"", ""p"": 0.1736}, {""supplier_id"": ""VS03"", ""p"": 0.1478}]",recorded,VS12,1.0,0.0
RET-0009,2023-01-22,Client-043,GI Sheets,1.86,Edge damage,VS32,0.2068915875767777,"[{""supplier_id"": ""VS19"", ""p"": 0.2069}, {""supplier_id"": ""VS12"", ""p"": 0.2}, {""supplier_id"": ""VS03"", ""p"": 0.1603}]",recorded,VS32,1.0,0.0
