supplier_id,orders,qty_ordered,qty_received,qty_short,qty_rejected,spend,short_loss,short_orders,reject_loss,return_loss,return_loss_recorded,return_loss_inferred,returns_recorded,returns_inferred,qty_returned,handling_loss,premium_mean_pct,premium_ci_low,premium_ci_high,premium_p,premium_net_rs,premium_orders,premium_q,premium_significant,premium_loss,rubric_core_total,additional_total,total_impact,impact_pct_of_spend,supplier_name,late_orders,mean_days_late,mean_days_late_when_late,max_days_late,arora_paid_days_late,short_delivery_pct,late_orders_pct,receiving_rejection_pct,customer_return_pct,quality_rejection_pct,price_premium_pct,short_delivery_adj,late_delivery_adj,quality_rejection_adj,price_premium_adj,score_short_delivery,score_late_delivery,score_quality_rejection,score_price_premium,score,rank,risk_rank,low_confidence,band,drivers
VS03,141,3541.38,3416.7,124.68000000000002,88.45,299739972.86,10434508.636900002,141,7360581.5954,13702498.901109098,7816112.00515,5886386.895959098,39.0,25.242643665063568,158.4502299685244,2055374.8351663647,2.9423860856241943,-1.8041339292249357,7.918339916303465,0.11529695175068636,14182612.855903203,141,0.7296345653944255,False,0.0,24137007.5380091,9415956.430566365,33552963.968575463,11.194023822857652,Tata Steel Service,141,4.843971631205674,4.843971631205674,8,5.900709219858156,3.5206614370669067,100.0,2.5887552316562767,4.637522462274254,7.22627769393053,2.9423860856241943,3.4265459353902625,4.741581050228311,7.014776248039758,0.3610152280874225,0.0,0.0,0.0,95.55207051563028,19.110414103126057,34,1,False,act,"[""short_delivery"", ""late_delivery"", ""quality_rejection""]"
VS19,141,3440.39,3317.7,122.68999999999998,87.81,296513677.33,10589582.430199997,141,7408246.6324000005,13693151.815463794,7757796.912,5935354.903463794,41.0,26.488296845301807,165.23960059083072,2053972.772319569,2.710341817423147,-2.120117496008076,7.779188597019983,0.13921103301262436,19411617.416191075,141,0.7296345653944255,False,0.0,24282734.245663792,9462219.404719569,33744953.65038336,11.380572375023185,Thakur Steel,141,5.01418439716312,5.01418439716312,8,5.3546099290780145,3.566165463799162,100.0,2.646713084365675,4.980546782133126,7.6272598664988,2.710341817423147,3.470491605042646,4.905964611872147,7.402026154424183,0.32724976966876,0.0,0.0,0.0,96.11482815594131,19.222965631188263,33,2,False,act,"[""short_delivery"", ""late_delivery"", ""quality_rejection""]"
VS12,147,3969.69,3827.45,142.23999999999998,96.8,334085521.19,11934605.841600003,147,8228767.1752,14943844.956097871,9041503.7236,5902341.23249787,54.0,26.739051481851426,181.95907371476363,2241576.7434146805,-0.09871140707088412,-5.088035393389509,5.152890933126854,0.5150436098118054,14430338.921691189,147,0.8336792615188198,False,0.0,26878450.797697872,10470343.918614682,37348794.71631256,11.179411362479152,Nutan Tubes,147,5.08843537414966,5.08843537414966,8,5.523809523809524,3.5831513291969896,100.0,2.5290990084782297,4.7540548854920015,7.283153893970232,-0.09871140707088412,3.490695324555934,4.982044956140351,7.078130261731736,0.037938801444105406,0.0,0.0,0.0,100.0,20.0,32,3,False,act,"[""short_delivery"", ""late_delivery"", ""quality_rejection""]"
VS17,123,3203.49,3186.46,17.030000000000015,0.0,258196903.55,1379868.9589000018,117,0.0,2921067.3931747945,2065193.2153500002,855874.1778247945,6.0,3.817933813918103,33.090306696349955,438160.1089762192,-0.42304243426145677,-5.421123579873267,4.8391655024866065,0.5639595004392016,3237600.4202159056,123,0.8336792615188198,False,0.0,4300936.352074796,438160.1089762192,4739096.461051015,1.8354582862506272,Modern Metals,93,1.4878048780487805,1.967741935483871,3,3.926829268292683,0.5316077153354628,75.60975609756098,0.0,1.0384660939208386,1.0384660939208386,-0.42304243426145677,0.5410171322406753,1.5021158854166667,1.0389336478270546,0.006570439300465844,98.62192212600587,100.0,59.25421818232193,100.0,89.40013118338224,31,4,False,good,[]
VS16,133,3381.3,3364.97,16.330000000000023,0.0,293979662.39,1423221.0945000004,126,0.0,2288189.6928483127,1456721.834,831467.8588483128,6.0,3.547424461844562,27.93661646409998,343228.4539272469,5.670809321541155,0.7282894929459924,10.855847933876477,0.012828390071496651,23464510.96488411,133,0.43616526243088616,False,0.0,3711410.7873483133,343228.4539272469,4054639.24127556,1.3792244022297655,Garg Enterprises,103,1.7067669172932332,2.203883495145631,3,5.090225563909774,0.48295034454204067,77.44360902255639,0.0,0.8302188864714984,0.8302188864714984,5.670809321541155,0.4934408678596806,1.7121074879227054,0.8381977483355734,0.6098265656882202,100.0,94.70183076249823,72.636611481754,91.40521488895031,90.11565353885312,30,5,False,good,[]
VS11,136,3223.29,3207.31,15.980000000000008,0.0,266700084.98,1332436.418600001,133,0.0,2380490.676388084,1551196.4929,829294.183488084,6.0,3.7782095151920845,28.600084578141747,357073.6014582126,2.3379918369836115,-2.02577760181169,6.896123458492351,0.15021888111061701,8725940.135432528,136,0.7296345653944255,False,0.0,3712927.094988085,357073.6014582126,4070000.6964462977,1.5260590174733202,Sai Steel,111,1.6102941176470589,1.972972972972973,3,5.867647058823529,0.495766747639834,81.61764705882354,0.0,0.8917156301742503,0.8917156301742503,2.3379918369836115,0.5055795859543399,1.6189420803782506,0.8973439934276444,0.33656806004474515,100.0,97.80734434731339,68.69352847561593,95.95952331634156,90.81712286900066,29,6,False,good,[]
VS01,142,3768.91,3749.41,19.499999999999964,0.0,306070350.49,1572178.093599998,137,0.0,2061217.1765028394,1489820.2051000001,571396.9714028393,5.0,2.614025931198731,27.3424433004579,309182.5764754259,-4.507673048064929,-8.998127544398447,0.20436130195214475,0.9687026434060971,-2377896.040612114,142,0.9687026434060972,False,0.0,3633395.270102837,309182.5764754259,3942577.846578263,1.2881279876559217,Jindal Steel & Power,105,1.5422535211267605,2.085714285714286,3,5.204225352112676,0.5173909698029394,73.94366197183099,0.0,0.729246556137043,0.729246556137043,-4.507673048064929,0.5260677663439585,1.5528628117913832,0.7401713492589111,-0.4838754636600826,99.61854651912031,100.0,79.17170475353149,100.0,94.67849014411897,28,7,False,good,[]
VS32,148,3792.65,3776.1,16.550000000000022,0.0,312587985.76,1313552.9242000058,141,0.0,2087084.3610297078,1379231.3598,707853.0012297079,6.0,3.2675211435465625,26.1189401274291,313062.65415445616,-2.1278993788820135,-6.730166490318128,2.701460049201239,0.8085711862265912,4682048.260010382,148,0.9687026434060972,False,0.0,3400637.2852297137,313062.65415445616,3713699.93938417,1.1880494800064032,Precision Steel,118,1.5810810810810811,1.9830508474576272,3,6.4391891891891895,0.4363703479097734,79.72972972972973,0.0,0.691690901391094,0.691690901391094,-2.1278993788820135,0.4473546106613789,1.5900054466230937,0.7034145802319067,-0.19296567934573394,100.0,98.77189880581861,81.62215602199845,100.0,95.09851370695426,27,8,False,good,[]
VS28,150,3690.73,3674.08,16.650000000000038,0.0,299367739.03,1363007.0070000025,142,0.0,1583932.3142223735,975086.2505999999,608846.0636223736,5.0,2.7398831113866104,20.074873011875034,237589.84713335603,-0.33877710958440643,-4.672346922508108,4.19179563708631,0.5593638642921182,6362069.734135067,150,0.8336792615188198,False,0.0,2946939.321222376,237589.84713335603,3184529.168355732,1.0637516182184905,Param Industries,123,1.8,2.1951219512195124,3,5.793333333333333,0.4511302642024759,82.0,0.0,0.5463918317476766,0.5463918317476766,-0.33877710958440643,0.46149666819945734,1.8017473118279568,0.5626513040758149,0.0034671241774371503,100.0,91.7138366323232,91.00637443240457,100.0,95.68005276618194,26,9,False,good,[]
VS05,137,3493.96,3474.96,19.000000000000007,0.0,284769981.35,1548061.8488000003,131,0.0,1703526.471723971,1243615.0332499999,459911.43847397115,4.0,2.1628383578096115,20.76808329573334,255528.97075859565,-2.1259055313061657,-6.6678011464194,2.637015796604721,0.8115064378121553,4453940.075517708,137,0.9687026434060972,False,0.0,3251588.320523971,255528.97075859565,3507117.2912825667,1.231561442907882,Bhushan Steel,103,1.5766423357664234,2.0970873786407767,3,5.9489051094890515,0.5437955786557375,75.18248175182482,0.0,0.5976495641887487,0.5976495641887487,-2.1259055313061657,0.551848156453384,1.5864143192488263,0.6135927300243549,-0.1986983286998589,97.89985384515862,98.89160305162753,87.61027936916858,100.0,95.99542675874662,25,10,False,good,[]
VS04,125,3060.05,3043.54,16.509999999999994,0.0,244464011.74,1335603.4215000006,123,0.0,1429411.8876461964,1018180.8197000001,411231.0679461964,3.0,1.996159903807587,18.258922066963507,214411.78314692946,-4.443271500878434,-9.172587484589103,0.5322964573667521,0.9591358560016472,-4485906.363204131,125,0.9687026434060972,False,0.0,2765015.309146197,214411.78314692946,2979427.0922931265,1.2187589785043287,Shyam Metalics,88,1.376,1.9545454545454546,3,5.36,0.5395336677505268,70.4,0.0,0.5999238408880286,0.5999238408880286,-4.443271500878434,0.5484934800720027,1.3943910256410257,0.6172512113892569,-0.4286625755019568,98.1234989372507,100.0,87.36638061150845,100.0,96.27864483405233,24,11,False,good,[]
VS14,144,3443.9,3427.62,16.280000000000015,0.0,276210523.27,1305572.3704999997,140,0.0,1504123.3863366232,1022609.3346000001,481514.0517366231,4.0,2.2820173943324753,19.934515988747485,225618.50795049345,-4.559486709118121,-9.109402245043563,0.21819420513465893,0.9684133823141489,-3120004.570529266,144,0.9687026434060972,False,0.0,2809695.756836623,225618.50795049345,3035314.2647871166,1.098913332067385,Sunrise Metals,114,1.5833333333333333,2.0,3,5.923611111111111,0.4727198815296616,79.16666666666667,0.0,0.5815847727795813,0.5815847727795813,-4.559486709118121,0.4827792408108441,1.5924217002237138,0.5973180177842922,-0.4771739353255926,100.0,98.69135701913129,88.69526018517276,100.0,96.846654301076,23,12,False,good,[]
