return_id,return_date,client_id,material_id,quantity_returned,reason,supplier_id_traced
RET-0000,2023-11-02,Client-000,SS Sheets,4.57,Weight short,
RET-0001,2021-10-25,Client-058,MS Flats,3.46,Wrong dimensions,
RET-0002,2022-03-13,Client-047,MS Sheets,4.12,Bend/warp,VS12
RET-0003,2021-09-05,Client-068,GI Pipes,3.43,Bend/warp,VS04
RET-0004,2021-06-14,Client-027,ERW Pipes,3.38,Weight short,
RET-0005,2021-11-27,Client-052,Angles & Channels,1.42,Wrong dimensions,VS03
RET-0006,2023-06-11,Client-039,CR Sheets,3.84,Bend/warp,
RET-0007,2023-07-02,Client-024,Angles & Channels,1.49,Bend/warp,VS12
RET-0008,2022-07-24,Client-001,SS Pipes,0.87,Weight short,VS12
RET-0009,2023-01-22,Client-043,GI Sheets,1.86,Edge damage,VS32
RET-0010,2023-11-07,Client-007,MS Flats,1.38,Surface rust,VS12
RET-0011,2022-11-23,Client-021,MS Sheets,3.84,Surface rust,VS34
RET-0012,2021-08-21,Client-029,MS Rods,0.2,Edge damage,
RET-0013,2021-11-01,Client-037,Structural Steel,3.25,Weight short,
RET-0014,2021-11-24,Client-067,SS Sheets,2.2,Bend/warp,VS12
RET-0015,2022-09-01,Client-058,GI Pipes,0.73,Edge damage,VS12
RET-0016,2023-04-16,Client-019,CR Sheets,3.96,Edge damage,VS31
RET-0017,2022-04-08,Client-052,SS Sheets,2.31,Edge damage,VS03
RET-0018,2021-03-16,Client-071,GI Pipes,1.53,Wrong dimensions,VS29
RET-0019,2022-01-04,Client-033,HR Coils,0.74,Wrong dimensions,VS19
RET-0020,2023-06-17,Client-006,Angles & Channels,4.84,Wrong dimensions,
RET-0021,2021-06-26,Client-060,MS Pipes,2.86,Grade mismatch,
RET-0022,2022-07-19,Client-048,HR Coils,1.82,Surface rust,VS12
RET-0023,2022-05-02,Client-035,SS Sheets,0.37,Bend/warp,VS12
RET-0024,2023-12-19,Client-027,MS Pipes,0.45,Edge damage,
RET-0025,2022-12-05,Client-069,SS Sheets,3.77,Edge damage,VS12
RET-0026,2022-11-29,Client-015,MS Pipes,0.86,Wrong dimensions,
RET-0027,2021-08-25,Client-019,SS Pipes,0.56,Edge damage,VS12
RET-0028,2022-11-16,Client-070,CR Sheets,2.58,Wrong dimensions,VS12
RET-0029,2023-08-22,Client-003,GI Pipes,2.28,Grade mismatch,VS12
RET-0030,2021-03-12,Client-027,MS Rods,1.01,Bend/warp,
RET-0031,2022-07-07,Client-057,GI Sheets,0.85,Bend/warp,VS12
RET-0032,2021-05-18,Client-061,CR Sheets,2.62,Edge damage,VS03
RET-0033,2022-06-09,Client-063,Fasteners & Fittings,2.52,Weight short,
RET-0034,2022-02-25,Client-049,GI Wire,2.87,Surface rust,VS13
RET-0035,2022-10-08,Client-075,Angles & Channels,2.77,Wrong dimensions,VS03
RET-0036,2023-02-12,Client-067,Fasteners & Fittings,0.91,Wrong dimensions,VS10
RET-0037,2021-03-08,Client-013,ERW Pipes,1.65,Edge damage,VS12
RET-0038,2022-01-05,Client-069,Structural Steel,4.17,Bend/warp,VS29
RET-0039,2023-02-09,Client-026,MS Flats,0.45,Edge damage,VS13
RET-0040,2022-05-12,Client-038,SS Pipes,4.1,Weight short,VS14
RET-0041,2021-06-10,Client-048,GI Wire,1.87,Surface rust,
RET-0042,2021-03-13,Client-063,MS Pipes,2.69,Weight short,VS11
RET-0043,2023-01-31,Client-007,Hex Bars,3.87,Weight short,
RET-0044,2021-10-14,Client-006,MS Flats,4.39,Bend/warp,
RET-0045,2021-02-05,Client-049,MS Flats,4.93,Wrong dimensions,
RET-0046,2023-09-15,Client-036,MS Sheets,3.41,Bend/warp,VS32
RET-0047,2022-02-01,Client-040,MS Rods,1.05,Surface rust,VS31
RET-0048,2023-01-13,Client-068,MS Sheets,2.51,Edge damage,
RET-0049,2022-11-27,Client-039,Fasteners & Fittings,4.32,Weight short,
RET-0050,2022-08-02,Client-034,ERW Pipes,1.65,Edge damage,VS25
RET-0051,2023-03-29,Client-070,MS Sheets,1.46,Grade mismatch,VS13
RET-0052,2021-11-15,Client-009,Structural Steel,4.23,Bend/warp,VS19
RET-0053,2022-05-14,Client-056,GI Wire,0.39,Edge damage,
RET-0054,2021-12-16,Client-003,Angles & Channels,4.69,Surface rust,VS03
RET-0055,2023-07-09,Client-061,Fasteners & Fittings,1.84,Surface rust,
RET-0056,2023-03-06,Client-079,GI Wire,2.1,Bend/warp,VS03
RET-0057,2023-03-12,Client-006,MS Pipes,3.61,Wrong dimensions,
RET-0058,2021-02-03,Client-050,SS Pipes,3.3,Weight short,VS03
RET-0059,2022-10-15,Client-050,Fasteners & Fittings,1.88,Bend/warp,VS19
RET-0060,2021-11-12,Client-010,Structural Steel,3.85,Weight short,
RET-0061,2023-12-31,Client-030,MS Flats,1.29,Grade mismatch,VS10
RET-0062,2023-06-22,Client-062,MS Sheets,3.22,Bend/warp,VS19
RET-0063,2023-03-10,Client-028,MS Flats,4.2,Surface rust,
RET-0064,2022-09-29,Client-062,MS Sheets,3.58,Surface rust,VS01
RET-0065,2023-06-05,Client-073,Square/Rect Tubes,4.04,Bend/warp,
RET-0066,2021-05-26,Client-055,Structural Steel,2.05,Bend/warp,VS03
RET-0067,2022-04-27,Client-007,GI Wire,1.73,Surface rust,
RET-0068,2021-10-02,Client-056,Fasteners & Fittings,3.08,Edge damage,
RET-0069,2022-09-06,Client-079,GI Wire,2.0,Surface rust,VS19
RET-0070,2022-08-09,Client-019,GI Wire,3.06,Grade mismatch,
RET-0071,2023-12-17,Client-060,Structural Steel,2.32,Grade mismatch,VS20
RET-0072,2023-11-30,Client-058,Square/Rect Tubes,1.81,Bend/warp,VS03
RET-0073,2023-04-13,Client-057,Spring Steel,4.93,Grade mismatch,
RET-0074,2022-05-25,Client-072,MS Pipes,3.59,Surface rust,VS03
RET-0075,2022-07-12,Client-002,Structural Steel,0.67,Wrong dimensions,VS23
RET-0076,2022-04-18,Client-011,MS Rods,0.42,Weight short,VS03
RET-0077,2021-06-15,Client-068,CR Sheets,0.99,Weight short,VS03
RET-0078,2023-05-11,Client-030,SS Sheets,2.3,Bend/warp,VS08
RET-0079,2021-05-25,Client-027,CR Sheets,3.34,Weight short,VS11
RET-0080,2023-05-17,Client-010,HR Coils,4.0,Surface rust,VS19
RET-0081,2021-06-08,Client-009,Angles & Channels,3.57,Bend/warp,VS19
RET-0082,2021-03-19,Client-076,MS Pipes,0.34,Bend/warp,VS12
RET-0083,2022-08-30,Client-069,CR Sheets,0.42,Surface rust,VS12
RET-0084,2022-05-02,Client-071,CR Sheets,2.87,Surface rust,VS32
RET-0085,2021-06-28,Client-076,MS Sheets,0.37,Grade mismatch,VS19
RET-0086,2023-06-22,Client-009,GI Pipes,4.47,Weight short,
RET-0087,2021-07-15,Client-049,GI Wire,0.57,Bend/warp,VS28
RET-0088,2021-12-08,Client-052,CR Sheets,4.45,Bend/warp,
RET-0089,2021-04-02,Client-070,MS Flats,0.85,Edge damage,
RET-0090,2023-10-10,Client-061,Structural Steel,0.97,Surface rust,
RET-0091,2021-05-31,Client-066,GI Sheets,4.34,Surface rust,VS03
RET-0092,2023-07-11,Client-078,MS Sheets,1.59,Bend/warp,VS20
RET-0093,2021-08-24,Client-064,CR Sheets,4.67,Wrong dimensions,VS23
RET-0094,2021-07-04,Client-051,GI Pipes,1.24,Weight short,VS03
