gr_id,po_id,receipt_date,quantity_received,quality_grade,rejection_qty,rejection_reason,invoice_amount_billed
GR-2021-0000,PO-2021-0000,2021-06-16,5.78,B,0.0,,544683.05
GR-2021-0001,PO-2021-0001,2021-02-06,9.06,A,0.0,,745021.18
GR-2021-0002,PO-2021-0002,2023-04-12,19.42,A,0.0,,2326836.99
GR-2021-0003,PO-2021-0003,2023-08-10,33.7,B,1.55,Dimensional deviation,3645770.67
GR-2021-0004,PO-2021-0004,2023-10-07,15.5,B,0.0,,1828330.73
GR-2021-0005,PO-2021-0005,2021-05-18,3.43,A,0.0,,279426.62
GR-2021-0006,PO-2021-0006,2021-12-01,4.9,A,0.0,,290558.77
GR-2021-0007,PO-2021-0007,2021-05-27,6.86,A,0.0,,767870.55
GR-2021-0008,PO-2021-0008,2021-04-01,32.91,A,0.0,,2902288.98
GR-2021-0009,PO-2021-0009,2022-07-04,12.64,B,0.0,,948486.04
GR-2021-0010,PO-2021-0010,2022-09-13,46.32,A,0.0,,5358176.86
GR-2021-0011,PO-2021-0011,2023-08-03,27.16,B,0.0,,2267616.51
GR-2021-0012,PO-2021-0012,2022-12-30,18.94,A,0.0,,1086040.6
GR-2021-0013,PO-2021-0013,2022-09-25,33.68,B,0.0,,2920855.08
GR-2021-0014,PO-2021-0014,2021-08-12,6.61,A,0.0,,353164.48
GR-2021-0015,PO-2021-0015,2021-11-24,30.49,A,0.0,,3027872.68
GR-2021-0016,PO-2021-0016,2022-06-30,13.18,A,0.0,,1504388.67
GR-2021-0017,PO-2021-0017,2021-07-17,3.13,A,0.0,,221252.9
GR-2021-0018,PO-2021-0018,2022-06-27,27.82,A,0.0,,2160454.86
GR-2021-0019,PO-2021-0019,2021-09-01,27.51,A,0.0,,2983599.09
GR-2021-0020,PO-2021-0020,2021-11-18,3.04,A,0.0,,220664.02
GR-2021-0021,PO-2021-0021,2021-04-03,34.34,A,0.0,,3270588.74
GR-2021-0022,PO-2021-0022,2023-05-01,43.14,B,0.0,,5127004.07
GR-2021-0023,PO-2021-0023,2022-01-16,9.78,A,0.0,,1119354.82
GR-2021-0024,PO-2021-0024,2023-05-06,8.74,A,0.0,,858843.57
GR-2021-0025,PO-2021-0025,2021-03-31,10.77,B,0.0,,1227668.33
GR-2021-0026,PO-2021-0026,2022-09-29,2.15,B,0.0,,128487.02
GR-2021-0027,PO-2021-0027,2022-08-08,18.18,B,0.0,,1515170.88
GR-2021-0028,PO-2021-0028,2022-11-25,43.86,A,0.0,,2840072.43
GR-2021-0029,PO-2021-0029,2022-07-16,28.88,B,0.84,Dimensional deviation,2229873.33
GR-2021-0030,PO-2021-0030,2022-10-14,6.63,A,0.0,,750127.21
GR-2021-0031,PO-2021-0031,2022-06-25,1.04,B,0.04,Dimensional deviation,128514.45
GR-2021-0032,PO-2021-0032,2022-02-18,4.43,A,0.0,,420042.99
GR-2021-0033,PO-2021-0033,2022-10-15,25.77,A,0.0,,2456188.67
GR-2021-0034,PO-2021-0034,2023-04-22,6.9,B,0.03,Dimensional deviation,576266.42
GR-2021-0035,PO-2021-0035,2022-01-02,27.58,A,0.0,,1254098.03
GR-2021-0036,PO-2021-0036,2022-03-15,23.58,A,0.0,,1858691.88
GR-2021-0037,PO-2021-0037,2023-11-29,33.15,B,0.0,,2205930.85
GR-2021-0038,PO-2021-0038,2022-11-26,33.91,B,0.0,,2100978.26
GR-2021-0039,PO-2021-0039,2021-11-15,12.97,A,0.0,,1048257.99
GR-2021-0040,PO-2021-0040,2021-06-13,44.02,A,0.0,,3916747.71
GR-2021-0041,PO-2021-0041,2023-03-04,12.95,B,0.0,,1220888.38
GR-2021-0042,PO-2021-0042,2021-08-21,9.56,A,0.0,,1124072.47
GR-2021-0043,PO-2021-0043,2023-08-22,13.12,B,0.0,,1434939.29
GR-2021-0044,PO-2021-0044,2021-10-18,49.12,A,0.0,,4430047.24
GR-2021-0045,PO-2021-0045,2023-07-02,41.5,A,0.0,,3589969.68
GR-2021-0046,PO-2021-0046,2023-09-08,37.52,B,0.0,,4086331.0
GR-2021-0047,PO-2021-0047,2023-12-12,14.36,A,0.0,,734730.68
GR-2021-0048,PO-2021-0048,2022-05-03,16.66,B,0.0,,1425475.37
GR-2021-0049,PO-2021-0049,2021-11-09,34.92,B,0.0,,3429350.4
GR-2021-0050,PO-2021-0050,2023-05-06,27.48,A,0.0,,2101890.9
GR-2021-0051,PO-2021-0051,2023-05-23,42.78,A,0.0,,4401993.98
GR-2021-0052,PO-2021-0052,2023-09-16,15.48,A,0.0,,1160511.87
GR-2021-0053,PO-2021-0053,2022-04-09,14.33,B,0.0,,1170050.67
GR-2021-0054,PO-2021-0054,2022-12-03,42.15,B,0.0,,4807069.85
GR-2021-0055,PO-2021-0055,2024-01-06,29.72,B,0.0,,2841749.4
GR-2021-0056,PO-2021-0056,2023-06-06,9.89,B,0.0,,638666.03
GR-2021-0057,PO-2021-0057,2022-03-20,17.37,A,0.0,,1946466.42
GR-2021-0058,PO-2021-0058,2023-05-20,24.02,A,0.0,,2433302.52
GR-2021-0059,PO-2021-0059,2023-01-04,39.07,B,0.0,,3687669.25
GR-2021-0060,PO-2021-0060,2021-03-12,41.94,A,0.0,,3858199.16
GR-2021-0061,PO-2021-0061,2021-10-01,28.45,A,0.0,,1756374.34
GR-2021-0062,PO-2021-0062,2022-06-26,30.56,B,0.0,,3599326.58
GR-2021-0063,PO-2021-0063,2021-09-02,6.24,A,0.0,,295633.04
GR-2021-0064,PO-2021-0064,2023-02-21,4.72,A,0.0,,456877.5
GR-2021-0065,PO-2021-0065,2022-05-19,42.29,B,0.0,,3840716.91
GR-2021-0066,PO-2021-0066,2021-04-09,21.81,B,0.0,,1600714.11
GR-2021-0067,PO-2021-0067,2022-12-08,41.05,B,0.0,,2184877.69
GR-2021-0068,PO-2021-0068,2023-08-14,9.56,A,0.0,,810181.63
GR-2021-0069,PO-2021-0069,2022-07-16,22.16,A,0.0,,2230134.51
GR-2021-0070,PO-2021-0070,2022-11-07,14.64,A,0.0,,1156144.9
GR-2021-0071,PO-2021-0071,2023-08-16,2.39,A,0.0,,262259.72
GR-2021-0072,PO-2021-0072,2023-10-08,40.0,B,0.0,,2827363.69
GR-2021-0073,PO-2021-0073,2022-08-03,47.38,A,0.0,,2440439.24
GR-2021-0074,PO-2021-0074,2023-04-28,38.04,B,0.0,,3692755.95
GR-2021-0075,PO-2021-0075,2023-10-17,5.53,A,0.0,,342605.7
GR-2021-0076,PO-2021-0076,2022-05-24,23.99,A,0.0,,2051775.0
GR-2021-0077,PO-2021-0077,2022-11-16,14.17,A,0.0,,911214.85
GR-2021-0078,PO-2021-0078,2022-02-15,37.06,B,0.0,,4350211.67
GR-2021-0079,PO-2021-0079,2022-01-29,36.91,B,0.0,,2444776.51
GR-2021-0080,PO-2021-0080,2023-12-21,40.69,B,1.75,Dimensional deviation,2922121.8
GR-2021-0081,PO-2021-0081,2022-01-08,35.52,B,0.0,,1944880.87
GR-2021-0082,PO-2021-0082,2021-04-30,31.16,B,1.22,Dimensional deviation,3404003.91
GR-2021-0083,PO-2021-0083,2021-01-31,23.32,C,0.67,Dimensional deviation,1794753.97
GR-2021-0084,PO-2021-0084,2022-06-06,40.97,A,0.0,,3098190.32
GR-2021-0085,PO-2021-0085,2021-04-26,40.73,A,0.0,,4734515.12
GR-2021-0086,PO-2021-0086,2022-06-08,38.2,A,0.0,,3479623.12
GR-2021-0087,PO-2021-0087,2022-04-23,23.02,A,0.0,,1804950.17
GR-2021-0088,PO-2021-0088,2023-06-14,30.67,A,0.0,,3102641.83
GR-2021-0089,PO-2021-0089,2022-03-10,33.21,A,0.0,,1894156.78
GR-2021-0090,PO-2021-0090,2021-06-16,20.92,A,0.0,,2032693.7
GR-2021-0091,PO-2021-0091,2022-09-01,14.47,B,0.43,Dimensional deviation,1041042.69
GR-2021-0092,PO-2021-0092,2021-06-09,39.25,A,0.0,,3638422.26
GR-2021-0093,PO-2021-0093,2022-02-20,27.41,A,0.0,,2590089.57
GR-2021-0094,PO-2021-0094,2021-11-04,9.09,A,0.0,,621487.23
GR-2021-0095,PO-2021-0095,2022-08-25,23.96,B,0.0,,1625329.95
GR-2021-0096,PO-2021-0096,2022-07-16,25.08,A,0.0,,1286035.13
GR-2021-0097,PO-2021-0097,2023-06-20,2.25,B,0.0,,141124.38
GR-2021-0098,PO-2021-0098,2021-02-26,38.08,B,0.0,,2231967.73
GR-2021-0099,PO-2021-0099,2023-07-05,49.48,A,0.0,,3872914.79
GR-2021-0100,PO-2021-0100,2021-07-12,20.92,A,0.0,,1451357.56
GR-2021-0101,PO-2021-0101,2021-12-06,34.84,A,0.0,,2330905.39
GR-2021-0102,PO-2021-0102,2021-04-04,16.4,B,0.0,,1136319.15
GR-2021-0103,PO-2021-0103,2023-04-20,33.0,A,0.0,,2847628.9
GR-2021-0104,PO-2021-0104,2021-05-08,18.54,A,0.0,,1905463.59
GR-2021-0105,PO-2021-0105,2023-07-03,14.03,B,0.0,,772498.2
GR-2021-0106,PO-2021-0106,2023-07-02,2.4,A,0.0,,222326.52
GR-2021-0107,PO-2021-0107,2022-05-12,27.73,A,0.0,,2418863.89
GR-2021-0108,PO-2021-0108,2022-04-12,47.19,A,0.0,,4436543.88
GR-2021-0109,PO-2021-0109,2023-11-04,33.88,B,1.59,Dimensional deviation,2817437.45
GR-2021-0110,PO-2021-0110,2023-09-08,27.93,B,0.0,,2066268.29
GR-2021-0111,PO-2021-0111,2023-11-16,14.41,A,0.0,,1515801.69
GR-2021-0112,PO-2021-0112,2022-12-07,40.92,A,0.0,,2728634.43
GR-2021-0113,PO-2021-0113,2023-10-11,27.23,B,0.0,,1941520.98
GR-2021-0114,PO-2021-0114,2023-02-21,43.44,B,0.0,,5170318.74
GR-2021-0115,PO-2021-0115,2023-03-10,3.11,A,0.0,,316678.07
GR-2021-0116,PO-2021-0116,2023-03-06,25.12,A,0.0,,1207311.4
GR-2021-0117,PO-2021-0117,2022-11-16,5.87,A,0.0,,667237.64
GR-2021-0118,PO-2021-0118,2021-10-30,4.64,A,0.0,,483879.25
GR-2021-0119,PO-2021-0119,2022-12-09,42.42,A,0.0,,4655480.14
GR-2021-0120,PO-2021-0120,2023-02-22,43.41,B,0.0,,2086543.81
GR-2021-0121,PO-2021-0121,2022-05-02,36.25,B,1.65,Dimensional deviation,3031624.85
GR-2021-0122,PO-2021-0122,2021-07-30,34.92,A,0.0,,3947615.57
GR-2021-0123,PO-2021-0123,2022-11-03,18.38,A,0.0,,1434716.03
GR-2021-0124,PO-2021-0124,2024-01-05,9.25,A,0.0,,475108.14
GR-2021-0125,PO-2021-0125,2022-05-20,12.31,B,0.0,,1149394.48
GR-2021-0126,PO-2021-0126,2022-06-12,44.9,A,0.0,,4327268.23
GR-2021-0127,PO-2021-0127,2021-06-12,49.06,B,0.0,,3330692.19
GR-2021-0128,PO-2021-0128,2022-06-08,10.68,A,0.0,,794647.41
GR-2021-0129,PO-2021-0129,2021-08-24,28.75,B,0.0,,2556978.03
GR-2021-0130,PO-2021-0130,2022-09-12,14.38,A,0.0,,1263575.63
GR-2021-0131,PO-2021-0131,2021-04-29,38.62,A,0.0,,2428718.91
GR-2021-0132,PO-2021-0132,2023-01-06,31.33,B,0.0,,3011051.81
GR-2021-0133,PO-2021-0133,2021-10-23,16.06,A,0.0,,1259916.48
GR-2021-0134,PO-2021-0134,2023-01-28,45.13,A,0.0,,3167294.09
GR-2021-0135,PO-2021-0135,2022-01-05,39.17,A,0.0,,4378443.71
GR-2021-0136,PO-2021-0136,2024-01-03,41.32,B,0.0,,2679531.36
GR-2021-0137,PO-2021-0137,2022-09-13,23.84,B,0.0,,1213006.43
GR-2021-0138,PO-2021-0138,2022-04-13,18.75,A,0.0,,1973377.76
GR-2021-0139,PO-2021-0139,2022-07-04,19.05,A,0.0,,1928412.08
GR-2021-0140,PO-2021-0140,2023-03-04,34.01,B,0.0,,2737891.43
GR-2021-0141,PO-2021-0141,2022-11-18,32.05,B,0.0,,2564618.85
GR-2021-0142,PO-2021-0142,2022-09-20,7.81,B,0.0,,910361.44
GR-2021-0143,PO-2021-0143,2023-10-15,12.43,B,0.0,,1067303.16
GR-2021-0144,PO-2021-0144,2023-07-26,21.52,A,0.0,,2168435.68
GR-2021-0145,PO-2021-0145,2023-05-07,30.99,A,0.0,,3597921.31
GR-2021-0146,PO-2021-0146,2021-03-20,22.52,B,0.0,,2643308.98
GR-2021-0147,PO-2021-0147,2021-07-27,45.17,A,0.0,,4218095.61
GR-2021-0148,PO-2021-0148,2023-04-08,48.36,A,0.0,,5627556.24
GR-2021-0149,PO-2021-0149,2021-07-14,3.47,A,0.0,,243645.9
GR-2021-0150,PO-2021-0150,2022-03-05,11.14,A,0.0,,682339.3
GR-2021-0151,PO-2021-0151,2022-11-12,14.56,B,0.0,,1733322.78
GR-2021-0152,PO-2021-0152,2022-06-04,32.11,B,0.56,Dimensional deviation,1629794.28
GR-2021-0153,PO-2021-0153,2023-01-10,1.76,A,0.0,,114877.53
GR-2021-0154,PO-2021-0154,2023-05-30,37.41,A,0.0,,3030170.61
GR-2021-0155,PO-2021-0155,2023-01-27,22.97,B,0.0,,1426415.72
GR-2021-0156,PO-2021-0156,2021-04-05,23.37,A,0.0,,2749557.94
GR-2021-0157,PO-2021-0157,2023-09-21,34.33,A,0.0,,2830882.94
GR-2021-0158,PO-2021-0158,2021-06-09,30.56,A,0.0,,1538225.3
GR-2021-0159,PO-2021-0159,2022-11-07,15.39,A,0.0,,1281057.3
GR-2021-0160,PO-2021-0160,2021-08-04,36.18,A,0.0,,2220122.83
GR-2021-0161,PO-2021-0161,2022-04-30,41.19,A,0.0,,3111543.73
GR-2021-0162,PO-2021-0162,2021-07-21,16.22,A,0.0,,1045743.87
GR-2021-0163,PO-2021-0163,2023-09-06,41.66,A,0.0,,2171196.78
GR-2021-0164,PO-2021-0164,2023-02-15,3.94,B,0.0,,459982.59
GR-2021-0165,PO-2021-0165,2022-11-22,18.3,B,0.0,,1739526.9
GR-2021-0166,PO-2021-0166,2023-05-29,30.35,A,0.0,,2171180.65
GR-2021-0167,PO-2021-0167,2023-11-12,33.16,B,0.0,,2051133.52
GR-2021-0168,PO-2021-0168,2023-01-03,38.23,A,0.0,,3378766.27
GR-2021-0169,PO-2021-0169,2023-06-15,2.41,A,0.0,,158498.58
GR-2021-0170,PO-2021-0170,2022-10-07,1.3,B,0.0,,143311.61
GR-2021-0171,PO-2021-0171,2023-04-05,37.15,A,0.0,,4398318.08
GR-2021-0172,PO-2021-0172,2023-12-31,21.44,A,0.0,,1522134.5
GR-2021-0173,PO-2021-0173,2022-10-19,43.94,A,0.0,,2509280.74
GR-2021-0174,PO-2021-0174,2021-04-25,22.55,A,0.0,,1744153.21
GR-2021-0175,PO-2021-0175,2023-07-06,11.49,B,0.0,,964404.21
GR-2021-0176,PO-2021-0176,2023-06-12,33.93,A,0.0,,3063073.95
GR-2021-0177,PO-2021-0177,2022-09-29,19.49,B,0.76,Dimensional deviation,1905559.52
