month,material_category,market_price_per_mt,source
2021-01,MS Pipes,67326.0,MetalMandi/Steel360 Index
2021-01,GI Pipes,72070.0,MetalMandi/Steel360 Index
2021-01,SS Pipes,186527.0,MetalMandi/Steel360 Index
2021-01,ERW Pipes,63801.0,MetalMandi/Steel360 Index
2021-01,MS Sheets,56973.0,MetalMandi/Steel360 Index
2021-01,HR Coils,55240.0,MetalMandi/Steel360 Index
2021-02,MS Pipes,66651.0,MetalMandi/Steel360 Index
2021-02,GI Pipes,73034.0,MetalMandi/Steel360 Index
2021-02,SS Pipes,186410.0,MetalMandi/Steel360 Index
2021-02,ERW Pipes,62581.0,MetalMandi/Steel360 Index
2021-02,MS Sheets,58429.0,MetalMandi/Steel360 Index
2021-02,HR Coils,53723.0,MetalMandi/Steel360 Index
2021-03,MS Pipes,68516.0,MetalMandi/Steel360 Index
2021-03,GI Pipes,70930.0,MetalMandi/Steel360 Index
2021-03,SS Pipes,182088.0,MetalMandi/Steel360 Index
2021-03,ERW Pipes,62285.0,MetalMandi/Steel360 Index
2021-03,MS Sheets,57318.0,MetalMandi/Steel360 Index
2021-03,HR Coils,53027.0,MetalMandi/Steel360 Index
2021-04,MS Pipes,70290.0,MetalMandi/Steel360 Index
2021-04,GI Pipes,71869.0,MetalMandi/Steel360 Index
2021-04,SS Pipes,181962.0,MetalMandi/Steel360 Index
2021-04,ERW Pipes,63135.0,MetalMandi/Steel360 Index
2021-04,MS Sheets,60046.0,MetalMandi/Steel360 Index
2021-04,HR Coils,54629.0,MetalMandi/Steel360 Index
2021-05,MS Pipes,68536.0,MetalMandi/Steel360 Index
2021-05,GI Pipes,74827.0,MetalMandi/Steel360 Index
2021-05,SS Pipes,183744.0,MetalMandi/Steel360 Index
2021-05,ERW Pipes,60768.0,MetalMandi/Steel360 Index
2021-05,MS Sheets,59626.0,MetalMandi/Steel360 Index
2021-05,HR Coils,54942.0,MetalMandi/Steel360 Index
2021-06,MS Pipes,70776.0,MetalMandi/Steel360 Index
2021-06,GI Pipes,73923.0,MetalMandi/Steel360 Index
2021-06,SS Pipes,184538.0,MetalMandi/Steel360 Index
2021-06,ERW Pipes,64579.0,MetalMandi/Steel360 Index
2021-06,MS Sheets,58433.0,MetalMandi/Steel360 Index
2021-06,HR Coils,55353.0,MetalMandi/Steel360 Index
2021-07,MS Pipes,70399.0,MetalMandi/Steel360 Index
2021-07,GI Pipes,71383.0,MetalMandi/Steel360 Index
2021-07,SS Pipes,186475.0,MetalMandi/Steel360 Index
2021-07,ERW Pipes,63286.0,MetalMandi/Steel360 Index
2021-07,MS Sheets,58869.0,MetalMandi/Steel360 Index
2021-07,HR Coils,54201.0,MetalMandi/Steel360 Index
2021-08,MS Pipes,70176.0,MetalMandi/Steel360 Index
2021-08,GI Pipes,72767.0,MetalMandi/Steel360 Index
2021-08,SS Pipes,184328.0,MetalMandi/Steel360 Index
2021-08,ERW Pipes,62904.0,MetalMandi/Steel360 Index
2021-08,MS Sheets,57415.0,MetalMandi/Steel360 Index
2021-08,HR Coils,53561.0,MetalMandi/Steel360 Index
2021-09,MS Pipes,68691.0,MetalMandi/Steel360 Index
2021-09,GI Pipes,73987.0,MetalMandi/Steel360 Index
2021-09,SS Pipes,189787.0,MetalMandi/Steel360 Index
2021-09,ERW Pipes,62348.0,MetalMandi/Steel360 Index
2021-09,MS Sheets,58196.0,MetalMandi/Steel360 Index
2021-09,HR Coils,54821.0,MetalMandi/Steel360 Index
2021-10,MS Pipes,70241.0,MetalMandi/Steel360 Index
2021-10,GI Pipes,74912.0,MetalMandi/Steel360 Index
2021-10,SS Pipes,183119.0,MetalMandi/Steel360 Index
2021-10,ERW Pipes,61430.0,MetalMandi/Steel360 Index
2021-10,MS Sheets,60245.0,MetalMandi/Steel360 Index
2021-10,HR Coils,54880.0,MetalMandi/Steel360 Index
2021-11,MS Pipes,70259.0,MetalMandi/Steel360 Index
2021-11,GI Pipes,74508.0,MetalMandi/Steel360 Index
2021-11,SS Pipes,194232.0,MetalMandi/Steel360 Index
2021-11,ERW Pipes,63306.0,MetalMandi/Steel360 Index
2021-11,MS Sheets,58990.0,MetalMandi/Steel360 Index
2021-11,HR Coils,55303.0,MetalMandi/Steel360 Index
2021-12,MS Pipes,69706.0,MetalMandi/Steel360 Index
2021-12,GI Pipes,72025.0,MetalMandi/Steel360 Index
2021-12,SS Pipes,189959.0,MetalMandi/Steel360 Index
2021-12,ERW Pipes,62535.0,MetalMandi/Steel360 Index
2021-12,MS Sheets,58247.0,MetalMandi/Steel360 Index
2021-12,HR Coils,55083.0,MetalMandi/Steel360 Index
2022-01,MS Pipes,69749.0,MetalMandi/Steel360 Index
2022-01,GI Pipes,75082.0,MetalMandi/Steel360 Index
2022-01,SS Pipes,186354.0,MetalMandi/Steel360 Index
2022-01,ERW Pipes,64019.0,MetalMandi/Steel360 Index
2022-01,MS Sheets,59653.0,MetalMandi/Steel360 Index
2022-01,HR Coils,55860.0,MetalMandi/Steel360 Index
2022-02,MS Pipes,71471.0,MetalMandi/Steel360 Index
2022-02,GI Pipes,72362.0,MetalMandi/Steel360 Index
2022-02,SS Pipes,187397.0,MetalMandi/Steel360 Index
2022-02,ERW Pipes,62309.0,MetalMandi/Steel360 Index
2022-02,MS Sheets,60791.0,MetalMandi/Steel360 Index
2022-02,HR Coils,56523.0,MetalMandi/Steel360 Index
2022-03,MS Pipes,70213.0,MetalMandi/Steel360 Index
2022-03,GI Pipes,72463.0,MetalMandi/Steel360 Index
2022-03,SS Pipes,194811.0,MetalMandi/Steel360 Index
2022-03,ERW Pipes,64486.0,MetalMandi/Steel360 Index
2022-03,MS Sheets,61102.0,MetalMandi/Steel360 Index
2022-03,HR Coils,56644.0,MetalMandi/Steel360 Index
2022-04,MS Pipes,69373.0,MetalMandi/Steel360 Index
2022-04,GI Pipes,74247.0,MetalMandi/Steel360 Index
2022-04,SS Pipes,193213.0,MetalMandi/Steel360 Index
2022-04,ERW Pipes,63419.0,MetalMandi/Steel360 Index
2022-04,MS Sheets,59523.0,MetalMandi/Steel360 Index
2022-04,HR Coils,56756.0,MetalMandi/Steel360 Index
2022-05,MS Pipes,68619.0,MetalMandi/Steel360 Index
2022-05,GI Pipes,75094.0,MetalMandi/Steel360 Index
2022-05,SS Pipes,192193.0,MetalMandi/Steel360 Index
2022-05,ERW Pipes,62605.0,MetalMandi/Steel360 Index
2022-05,MS Sheets,60527.0,MetalMandi/Steel360 Index
2022-05,HR Coils,55142.0,MetalMandi/Steel360 Index
2022-06,MS Pipes,71614.0,MetalMandi/Steel360 Index
2022-06,GI Pipes,76223.0,MetalMandi/Steel360 Index
2022-06,SS Pipes,192444.0,MetalMandi/Steel360 Index
2022-06,ERW Pipes,64850.0,MetalMandi/Steel360 Index
2022-06,MS Sheets,61482.0,MetalMandi/Steel360 Index
2022-06,HR Coils,56378.0,MetalMandi/Steel360 Index
2022-07,MS Pipes,71974.0,MetalMandi/Steel360 Index
2022-07,GI Pipes,74765.0,MetalMandi/Steel360 Index
2022-07,SS Pipes,193784.0,MetalMandi/Steel360 Index
2022-07,ERW Pipes,66058.0,MetalMandi/Steel360 Index
2022-07,MS Sheets,59530.0,MetalMandi/Steel360 Index
2022-07,HR Coils,55213.0,MetalMandi/Steel360 Index
2022-08,MS Pipes,70975.0,MetalMandi/Steel360 Index
2022-08,GI Pipes,76655.0,MetalMandi/Steel360 Index
2022-08,SS Pipes,186723.0,MetalMandi/Steel360 Index
2022-08,ERW Pipes,62929.0,MetalMandi/Steel360 Index
2022-08,MS Sheets,60170.0,MetalMandi/Steel360 Index
2022-08,HR Coils,54723.0,MetalMandi/Steel360 Index
2022-09,MS Pipes,72500.0,MetalMandi/Steel360 Index
2022-09,GI Pipes,77183.0,MetalMandi/Steel360 Index
2022-09,SS Pipes,195052.0,MetalMandi/Steel360 Index
2022-09,ERW Pipes,66211.0,MetalMandi/Steel360 Index
2022-09,MS Sheets,60020.0,MetalMandi/Steel360 Index
2022-09,HR Coils,56274.0,MetalMandi/Steel360 Index
2022-10,MS Pipes,70302.0,MetalMandi/Steel360 Index
2022-10,GI Pipes,76645.0,MetalMandi/Steel360 Index
2022-10,SS Pipes,194317.0,MetalMandi/Steel360 Index
2022-10,ERW Pipes,66022.0,MetalMandi/Steel360 Index
2022-10,MS Sheets,59085.0,MetalMandi/Steel360 Index
2022-10,HR Coils,56210.0,MetalMandi/Steel360 Index
2022-11,MS Pipes,70152.0,MetalMandi/Steel360 Index
2022-11,GI Pipes,75628.0,MetalMandi/Steel360 Index
2022-11,SS Pipes,198663.0,MetalMandi/Steel360 Index
2022-11,ERW Pipes,62961.0,MetalMandi/Steel360 Index
2022-11,MS Sheets,60763.0,MetalMandi/Steel360 Index
2022-11,HR Coils,57016.0,MetalMandi/Steel360 Index
2022-12,MS Pipes,69249.0,MetalMandi/Steel360 Index
2022-12,GI Pipes,76824.0,MetalMandi/Steel360 Index
2022-12,SS Pipes,198277.0,MetalMandi/Steel360 Index
2022-12,ERW Pipes,65124.0,MetalMandi/Steel360 Index
2022-12,MS Sheets,61636.0,MetalMandi/Steel360 Index
2022-12,HR Coils,55460.0,MetalMandi/Steel360 Index
2023-01,MS Pipes,71979.0,MetalMandi/Steel360 Index
2023-01,GI Pipes,77243.0,MetalMandi/Steel360 Index
2023-01,SS Pipes,191469.0,MetalMandi/Steel360 Index
2023-01,ERW Pipes,63525.0,MetalMandi/Steel360 Index
2023-01,MS Sheets,61330.0,MetalMandi/Steel360 Index
2023-01,HR Coils,56323.0,MetalMandi/Steel360 Index
2023-02,MS Pipes,71776.0,MetalMandi/Steel360 Index
2023-02,GI Pipes,74814.0,MetalMandi/Steel360 Index
2023-02,SS Pipes,190586.0,MetalMandi/Steel360 Index
2023-02,ERW Pipes,65479.0,MetalMandi/Steel360 Index
2023-02,MS Sheets,60886.0,MetalMandi/Steel360 Index
2023-02,HR Coils,55962.0,MetalMandi/Steel360 Index
2023-03,MS Pipes,70067.0,MetalMandi/Steel360 Index
2023-03,GI Pipes,75505.0,MetalMandi/Steel360 Index
2023-03,SS Pipes,192872.0,MetalMandi/Steel360 Index
2023-03,ERW Pipes,65162.0,MetalMandi/Steel360 Index
