po_id,supplier_id,invoice_date,agreed_payment_days,actual_payment_date,days_late
PO-2021-0000,VS29,2021-06-07,30,2021-07-04,0
PO-2021-0001,VS06,2021-02-03,30,2021-03-23,21
PO-2021-0002,VS04,2023-04-05,21,2023-05-07,14
PO-2021-0003,VS19,2023-07-24,30,2023-09-10,21
PO-2021-0004,VS10,2023-09-27,30,2023-11-09,16
PO-2021-0005,VS21,2021-05-08,15,2021-05-21,1
PO-2021-0006,VS04,2021-11-22,21,2021-12-29,19
PO-2021-0007,VS16,2021-05-23,15,2021-06-08,4
PO-2021-0008,VS06,2021-03-26,30,2021-05-09,17
PO-2021-0009,VS14,2022-06-22,30,2022-07-20,1
PO-2021-0010,VS30,2022-09-10,45,2022-11-10,19
PO-2021-0011,VS07,2023-07-31,15,2023-09-02,21
PO-2021-0012,VS05,2022-12-19,15,2023-01-15,15
PO-2021-0013,VS34,2022-09-15,21,2022-10-17,14
PO-2021-0014,VS09,2021-08-04,30,2021-09-14,14
PO-2021-0015,VS18,2021-11-18,30,2021-12-15,0
PO-2021-0016,VS33,2022-06-28,45,2022-08-28,19
PO-2021-0017,VS28,2021-07-12,15,2021-07-26,2
PO-2021-0018,VS11,2022-06-24,30,2022-07-27,6
PO-2021-0019,VS05,2021-08-21,15,2021-09-13,11
PO-2021-0020,VS28,2021-11-03,15,2021-11-24,9
PO-2021-0021,VS23,2021-03-26,45,2021-05-06,0
PO-2021-0022,VS10,2023-04-16,30,2023-05-28,15
PO-2021-0023,VS27,2022-01-01,21,2022-01-19,0
PO-2021-0024,VS16,2023-04-27,15,2023-05-10,1
PO-2021-0025,VS31,2021-03-24,45,2021-05-26,21
PO-2021-0026,VS15,2022-09-21,45,2022-11-25,23
PO-2021-0027,VS05,2022-07-28,15,2022-08-25,16
PO-2021-0028,VS02,2022-11-13,21,2022-12-07,6
PO-2021-0029,VS03,2022-07-01,21,2022-08-12,24
PO-2021-0030,VS28,2022-10-08,15,2022-10-26,6
PO-2021-0031,VS03,2022-06-09,21,2022-06-27,0
PO-2021-0032,VS24,2022-02-11,45,2022-03-24,0
PO-2021-0033,VS08,2022-10-08,21,2022-10-23,0
PO-2021-0034,VS19,2023-04-08,30,2023-05-05,0
PO-2021-0035,VS20,2021-12-26,21,2022-01-29,16
PO-2021-0036,VS28,2022-03-10,15,2022-04-11,20
PO-2021-0037,VS31,2023-11-16,45,2024-01-19,22
PO-2021-0038,VS06,2022-11-21,30,2023-01-01,14
PO-2021-0039,VS02,2021-11-01,21,2021-11-19,0
PO-2021-0040,VS30,2021-06-02,45,2021-07-27,13
PO-2021-0041,VS32,2023-03-01,45,2023-04-28,16
PO-2021-0042,VS28,2021-08-10,15,2021-08-22,0
PO-2021-0043,VS04,2023-08-13,21,2023-08-31,0
PO-2021-0044,VS30,2021-10-04,45,2021-12-04,19
PO-2021-0045,VS33,2023-06-29,45,2023-08-24,14
PO-2021-0046,VS29,2023-09-03,30,2023-10-17,17
PO-2021-0047,VS32,2023-12-07,45,2024-01-18,0
PO-2021-0048,VS18,2022-04-29,30,2022-05-29,3
PO-2021-0049,VS15,2021-11-08,45,2021-12-17,0
PO-2021-0050,VS27,2023-05-03,21,2023-06-02,12
PO-2021-0051,VS25,2023-05-14,30,2023-07-05,25
PO-2021-0052,VS01,2023-09-07,15,2023-09-19,0
PO-2021-0053,VS32,2022-03-31,45,2022-05-23,11
PO-2021-0054,VS26,2022-11-23,21,2022-12-11,0
PO-2021-0055,VS02,2024-01-02,21,2024-01-24,4
PO-2021-0056,VS09,2023-05-31,30,2023-07-07,10
PO-2021-0057,VS30,2022-03-13,45,2022-04-24,0
PO-2021-0058,VS17,2023-05-17,45,2023-06-28,0
PO-2021-0059,VS15,2022-12-21,45,2023-02-14,13
PO-2021-0060,VS16,2021-03-08,15,2021-03-28,8
PO-2021-0061,VS31,2021-09-19,45,2021-10-31,0
PO-2021-0062,VS24,2022-06-12,45,2022-08-04,11
PO-2021-0063,VS11,2021-08-26,30,2021-09-28,6
PO-2021-0064,VS26,2023-02-11,21,2023-03-22,21
PO-2021-0065,VS07,2022-05-16,15,2022-05-28,0
PO-2021-0066,VS23,2021-03-29,45,2021-05-26,16
PO-2021-0067,VS01,2022-12-03,15,2022-12-15,0
PO-2021-0068,VS10,2023-08-03,30,2023-08-30,0
PO-2021-0069,VS31,2022-07-11,45,2022-08-22,0
PO-2021-0070,VS16,2022-10-26,15,2022-11-02,0
PO-2021-0071,VS25,2023-08-13,30,2023-09-29,20
PO-2021-0072,VS14,2023-09-29,30,2023-10-26,0
PO-2021-0073,VS01,2022-07-23,15,2022-08-14,10
PO-2021-0074,VS32,2023-04-16,45,2023-05-28,0
PO-2021-0075,VS29,2023-10-06,30,2023-11-02,0
PO-2021-0076,VS20,2022-05-17,21,2022-06-20,16
PO-2021-0077,VS23,2022-11-12,45,2023-01-02,9
PO-2021-0078,VS21,2022-02-02,15,2022-02-13,0
PO-2021-0079,VS13,2022-01-18,30,2022-02-28,14
PO-2021-0080,VS19,2023-12-14,30,2024-01-10,0
PO-2021-0081,VS20,2022-01-06,21,2022-02-14,21
PO-2021-0082,VS19,2021-04-25,30,2021-06-10,19
PO-2021-0083,VS19,2021-01-29,30,2021-03-12,15
PO-2021-0084,VS31,2022-06-05,45,2022-07-12,0
PO-2021-0085,VS10,2021-04-23,30,2021-06-01,12
PO-2021-0086,VS08,2022-05-27,21,2022-06-14,0
PO-2021-0087,VS34,2022-04-11,21,2022-05-17,18
PO-2021-0088,VS20,2023-06-01,21,2023-06-19,0
PO-2021-0089,VS14,2022-03-05,30,2022-04-01,0
PO-2021-0090,VS11,2021-06-06,30,2021-07-15,12
PO-2021-0091,VS03,2022-08-23,21,2022-09-10,0
PO-2021-0092,VS15,2021-05-29,45,2021-07-17,7
PO-2021-0093,VS28,2022-02-13,15,2022-02-28,3
PO-2021-0094,VS05,2021-10-22,15,2021-11-07,4
PO-2021-0095,VS29,2022-08-18,30,2022-09-30,16
PO-2021-0096,VS33,2022-07-15,45,2022-08-26,0
PO-2021-0097,VS21,2023-06-07,15,2023-06-15,0
PO-2021-0098,VS18,2021-02-15,30,2021-03-14,0
PO-2021-0099,VS18,2023-06-28,30,2023-07-31,6
PO-2021-0100,VS31,2021-07-09,45,2021-08-20,0
PO-2021-0101,VS22,2021-11-29,21,2021-12-24,7
PO-2021-0102,VS30,2021-03-20,45,2021-05-10,9
PO-2021-0103,VS33,2023-04-11,45,2023-05-27,4
PO-2021-0104,VS13,2021-04-25,30,2021-06-10,19
PO-2021-0105,VS04,2023-06-28,21,2023-07-30,14
PO-2021-0106,VS32,2023-06-20,45,2023-08-21,20
PO-2021-0107,VS11,2022-05-09,30,2022-06-22,17
PO-2021-0108,VS08,2022-04-09,21,2022-04-27,0
PO-2021-0109,VS19,2023-10-21,30,2023-11-29,12
