po_id,po_date,supplier_id,material_id,quantity_ordered,unit,unit_price_quoted,delivery_promised_date,payment_terms_days
PO-2021-0000,2021-06-04,VS29,Spring Steel,5.8,MT,93910.87,2021-06-15,30
PO-2021-0001,2021-01-31,VS06,HR Coils,9.15,MT,81423.08,2021-02-06,30
PO-2021-0002,2023-04-02,VS04,MS Sheets,19.57,MT,118898.16,2023-04-09,21
PO-2021-0003,2023-07-21,VS19,GI Wire,35.13,MT,103779.41,2023-08-05,30
PO-2021-0004,2023-09-24,VS10,GI Sheets,15.54,MT,117653.2,2023-10-06,30
PO-2021-0005,2021-05-05,VS21,GI Pipes,3.46,MT,80759.14,2021-05-16,15
PO-2021-0006,2021-11-19,VS04,Hex Bars,4.93,MT,58936.87,2021-12-01,21
PO-2021-0007,2021-05-20,VS16,MS Rods,6.87,MT,111771.55,2021-05-26,15
PO-2021-0008,2021-03-23,VS06,GI Wire,33.21,MT,87392.02,2021-03-31,30
PO-2021-0009,2022-06-19,VS14,MS Flats,12.7,MT,74683.94,2022-07-02,30
PO-2021-0010,2022-09-07,VS30,MS Flats,46.52,MT,115180.07,2022-09-10,45
PO-2021-0011,2023-07-28,VS07,SS Pipes,27.34,MT,82941.35,2023-08-02,15
PO-2021-0012,2022-12-16,VS05,HR Coils,19.11,MT,56831.01,2022-12-27,15
PO-2021-0013,2022-09-12,VS34,MS Pipes,33.73,MT,86595.17,2022-09-25,21
PO-2021-0014,2021-08-01,VS09,CR Sheets,6.66,MT,53027.7,2021-08-12,30
PO-2021-0015,2021-11-15,VS18,SS Sheets,30.64,MT,98820.91,2021-11-21,30
PO-2021-0016,2022-06-25,VS33,Structural Steel,13.3,MT,113111.93,2022-06-28,45
PO-2021-0017,2021-07-09,VS28,CR Sheets,3.16,MT,70016.74,2021-07-14,15
PO-2021-0018,2022-06-21,VS11,Fasteners & Fittings,28.03,MT,77076.52,2022-06-24,30
PO-2021-0019,2021-08-18,VS05,Square/Rect Tubes,27.73,MT,107594.63,2021-08-30,15
PO-2021-0020,2021-10-31,VS28,Square/Rect Tubes,3.05,MT,72348.86,2021-11-15,15
PO-2021-0021,2021-03-23,VS23,GI Sheets,34.42,MT,95020.01,2021-03-31,45
PO-2021-0022,2023-04-13,VS10,HR Coils,43.37,MT,118215.45,2023-04-28,30
PO-2021-0023,2021-12-29,VS27,MS Pipes,9.79,MT,114336.55,2022-01-13,21
PO-2021-0024,2023-04-24,VS16,CR Sheets,8.8,MT,97595.86,2023-05-03,15
PO-2021-0025,2021-03-21,VS31,HR Coils,10.78,MT,113883.89,2021-03-29,45
PO-2021-0026,2022-09-18,VS15,HR Coils,2.16,MT,59484.73,2022-09-26,45
PO-2021-0027,2022-07-25,VS05,CR Sheets,18.21,MT,83205.43,2022-08-07,15
PO-2021-0028,2022-11-10,VS02,ERW Pipes,43.97,MT,64591.14,2022-11-22,21
PO-2021-0029,2022-06-28,VS03,ERW Pipes,30.23,MT,73763.59,2022-07-13,21
PO-2021-0030,2022-10-05,VS28,Hex Bars,6.67,MT,112462.85,2022-10-11,15
PO-2021-0031,2022-06-06,VS03,GI Wire,1.08,MT,118994.86,2022-06-17,21
PO-2021-0032,2022-02-08,VS24,GI Wire,4.43,MT,94817.83,2022-02-16,45
PO-2021-0033,2022-10-05,VS08,SS Sheets,25.85,MT,95016.97,2022-10-13,21
PO-2021-0034,2023-04-05,VS19,Spring Steel,7.24,MT,79594.81,2023-04-14,30
PO-2021-0035,2021-12-23,VS20,MS Rods,27.85,MT,45030.45,2021-12-30,21
PO-2021-0036,2022-03-07,VS28,MS Flats,23.78,MT,78161.98,2022-03-13,15
PO-2021-0037,2023-11-13,VS31,MS Sheets,33.28,MT,66283.98,2023-11-26,45
PO-2021-0038,2022-11-18,VS06,HR Coils,33.97,MT,61848.05,2022-11-24,30
PO-2021-0039,2021-10-29,VS02,GI Pipes,13.0,MT,80635.23,2021-11-13,21
PO-2021-0040,2021-05-30,VS30,GI Wire,44.42,MT,88175.32,2021-06-13,45
PO-2021-0041,2023-02-26,VS32,MS Rods,12.96,MT,94204.35,2023-03-01,45
PO-2021-0042,2021-08-07,VS28,HR Coils,9.62,MT,116847.45,2021-08-18,15
PO-2021-0043,2023-08-10,VS04,Spring Steel,13.21,MT,108625.23,2023-08-20,21
PO-2021-0044,2021-10-01,VS30,Hex Bars,49.41,MT,89658.92,2021-10-16,45
PO-2021-0045,2023-06-26,VS33,GI Wire,41.7,MT,86090.4,2023-07-01,45
PO-2021-0046,2023-08-31,VS29,CR Sheets,37.84,MT,107989.72,2023-09-07,30
PO-2021-0047,2023-12-04,VS32,HR Coils,14.46,MT,50811.25,2023-12-11,45
PO-2021-0048,2022-04-26,VS18,MS Flats,16.67,MT,85511.42,2022-05-01,30
PO-2021-0049,2021-11-05,VS15,MS Rods,35.0,MT,97981.44,2021-11-09,45
PO-2021-0050,2023-04-30,VS27,MS Flats,27.59,MT,76183.07,2023-05-06,21
PO-2021-0051,2023-05-11,VS25,MS Pipes,42.98,MT,102419.59,2023-05-20,30
PO-2021-0052,2023-09-04,VS01,Angles & Channels,15.63,MT,74249.0,2023-09-13,15
PO-2021-0053,2022-03-28,VS32,HR Coils,14.37,MT,81423.15,2022-04-06,45
PO-2021-0054,2022-11-20,VS26,MS Sheets,42.18,MT,113965.62,2022-12-02,21
PO-2021-0055,2023-12-30,VS02,MS Rods,30.0,MT,94724.98,2024-01-03,21
PO-2021-0056,2023-05-28,VS09,Fasteners & Fittings,9.9,MT,64511.72,2023-06-05,30
PO-2021-0057,2022-03-10,VS30,MS Flats,17.54,MT,110973.0,2022-03-17,45
PO-2021-0058,2023-05-14,VS17,SS Pipes,24.05,MT,101176.82,2023-05-17,45
PO-2021-0059,2022-12-18,VS15,SS Pipes,39.28,MT,93881.6,2023-01-02,45
PO-2021-0060,2021-03-05,VS16,GI Sheets,42.12,MT,91600.17,2021-03-11,15
PO-2021-0061,2021-09-16,VS31,ERW Pipes,28.63,MT,61347.34,2021-09-30,45
PO-2021-0062,2022-06-09,VS24,MS Sheets,30.69,MT,117280.11,2022-06-23,45
PO-2021-0063,2021-08-23,VS11,SS Sheets,6.3,MT,46925.88,2021-08-30,30
PO-2021-0064,2023-02-08,VS26,GI Sheets,4.72,MT,96796.08,2023-02-21,21
PO-2021-0065,2022-05-13,VS07,SS Sheets,42.66,MT,90030.87,2022-05-17,15
PO-2021-0066,2021-03-26,VS23,Spring Steel,21.99,MT,72792.82,2021-04-06,45
PO-2021-0067,2022-11-30,VS01,GI Wire,41.29,MT,52915.42,2022-12-08,15
PO-2021-0068,2023-07-31,VS10,GI Wire,9.63,MT,84131.01,2023-08-13,30
PO-2021-0069,2022-07-08,VS31,Fasteners & Fittings,22.34,MT,99826.97,2022-07-15,45
PO-2021-0070,2022-10-23,VS16,SS Pipes,14.67,MT,78810.15,2022-11-07,15
PO-2021-0071,2023-08-10,VS25,MS Flats,2.41,MT,108821.46,2023-08-15,30
PO-2021-0072,2023-09-26,VS14,Angles & Channels,40.09,MT,70525.41,2023-10-08,30
PO-2021-0073,2022-07-20,VS01,Hex Bars,47.46,MT,51420.97,2022-08-03,15
PO-2021-0074,2023-04-13,VS32,Spring Steel,38.15,MT,96795.7,2023-04-26,45
PO-2021-0075,2023-10-03,VS29,MS Pipes,5.56,MT,61619.73,2023-10-17,30
PO-2021-0076,2022-05-14,VS20,Angles & Channels,24.19,MT,84819.14,2022-05-23,21
PO-2021-0077,2022-11-09,VS23,Fasteners & Fittings,14.27,MT,63855.28,2022-11-13,45
PO-2021-0078,2022-01-30,VS21,ERW Pipes,37.4,MT,116315.82,2022-02-13,15
PO-2021-0079,2022-01-15,VS13,GI Sheets,37.19,MT,65737.47,2022-01-27,30
PO-2021-0080,2023-12-11,VS19,ERW Pipes,41.8,MT,69907.22,2023-12-19,30
PO-2021-0081,2022-01-03,VS20,MS Pipes,35.69,MT,54493.72,2022-01-06,21
PO-2021-0082,2021-04-22,VS19,Square/Rect Tubes,32.26,MT,105517.79,2021-04-26,30
PO-2021-0083,2021-01-26,VS19,Structural Steel,24.46,MT,73375.06,2021-01-29,30
PO-2021-0084,2022-06-02,VS31,ERW Pipes,41.28,MT,75053.06,2022-06-06,45
PO-2021-0085,2021-04-20,VS10,Square/Rect Tubes,40.75,MT,116184.42,2021-04-24,30
PO-2021-0086,2022-05-24,VS08,Spring Steel,38.46,MT,90473.82,2022-06-08,21
PO-2021-0087,2022-04-08,VS34,MS Rods,23.08,MT,78204.08,2022-04-20,21
PO-2021-0088,2023-05-29,VS20,GI Pipes,30.87,MT,100506.7,2023-06-13,21
PO-2021-0089,2022-03-02,VS14,CR Sheets,33.36,MT,56779.28,2022-03-07,30
PO-2021-0090,2021-06-03,VS11,MS Pipes,21.02,MT,96702.84,2021-06-13,30
PO-2021-0091,2022-08-20,VS03,HR Coils,15.12,MT,68852.03,2022-08-30,21
PO-2021-0092,2021-05-26,VS15,CR Sheets,39.6,MT,91879.35,2021-06-08,45
PO-2021-0093,2022-02-10,VS28,ERW Pipes,27.68,MT,93572.6,2022-02-17,15
PO-2021-0094,2021-10-19,VS05,GI Pipes,9.13,MT,68070.89,2021-11-02,15
PO-2021-0095,2022-08-15,VS29,ERW Pipes,23.97,MT,67806.84,2022-08-24,30
PO-2021-0096,2022-07-12,VS33,Spring Steel,25.2,MT,51033.14,2022-07-15,45
PO-2021-0097,2023-06-04,VS21,CR Sheets,2.27,MT,62169.33,2023-06-17,15
PO-2021-0098,2021-02-12,VS18,GI Pipes,38.39,MT,58139.3,2021-02-23,30
PO-2021-0099,2023-06-25,VS18,MS Sheets,49.85,MT,77691.37,2023-07-05,30
PO-2021-0100,2021-07-06,VS31,Angles & Channels,21.01,MT,69079.37,2021-07-10,45
PO-2021-0101,2021-11-26,VS22,GI Wire,34.99,MT,66616.33,2021-12-05,21
PO-2021-0102,2021-03-17,VS30,SS Pipes,16.41,MT,69245.53,2021-04-01,45
PO-2021-0103,2023-04-08,VS33,MS Pipes,33.23,MT,85694.52,2023-04-17,45
PO-2021-0104,2021-04-22,VS13,Hex Bars,18.73,MT,101733.24,2021-05-05,30
PO-2021-0105,2023-06-25,VS04,GI Sheets,14.09,MT,54825.99,2023-07-02,21
PO-2021-0106,2023-06-17,VS32,ERW Pipes,2.41,MT,92251.67,2023-07-02,45
